id,o,c,e,a,n
35072393,0.530,0.443,0.611,0.654,0.690
35075718,0.571,0.377,0.513,0.534,0.764
35081575,0.461,0.373,0.439,0.755,0.556
35082414,0.604,0.447,0.464,0.660,0.636
35082742,0.318,0.489,0.545,0.646,0.367
160252313,0.433,0.459,0.434,0.463,0.521
135756082,0.342,0.754,0.591,0.474,0.749
135761344,0.361,0.605,0.356,0.818,0.499
135789579,0.413,0.788,0.481,0.538,0.551
16097542,0.642,0.304,0.390,0.617,0.560
16420152,0.461,0.760,0.603,0.644,0.280
16420518,0.361,0.575,0.373,0.590,0.237
16427565,0.266,0.464,0.327,0.430,0.617
18324221,0.466,0.758,0.701,0.681,0.099
35094163,0.664,0.651,0.537,0.637,0.723
35094823,0.328,0.556,0.535,0.621,0.291
35099519,0.440,0.491,0.454,0.484,0.543
35102879,0.440,0.363,0.398,0.656,0.762
29291098,0.380,0.346,0.478,0.612,0.499
35108541,0.568,0.352,0.415,0.646,0.593
35114229,0.268,0.495,0.677,0.650,0.462
14829058,0.313,0.443,0.456,0.525,0.539
308598960,0.096,0.441,0.216,0.480,0.606
1922861,0.304,0.506,0.527,0.538,0.571
135818099,0.194,0.476,0.275,0.687,0.443
135822634,0.592,0.710,0.608,0.604,0.332
135836213,0.475,0.403,0.437,0.542,0.460
1967871,0.697,0.443,0.461,0.753,0.445
135860910,0.433,0.560,0.493,0.561,0.521
135879742,0.349,0.600,0.454,0.546,0.513
135895585,0.456,0.655,0.292,0.530,0.415
135901215,0.385,0.481,0.557,0.389,0.452
35143351,0.413,0.222,0.540,0.357,0.621
35148062,0.552,0.441,0.427,0.519,0.617
35151179,0.468,0.577,0.498,0.581,0.296
16045268,0.342,0.647,0.212,0.532,0.456
16048580,0.483,0.331,0.483,0.623,0.450
35157578,0.547,0.375,0.393,0.644,0.669
35162041,0.433,0.489,0.481,0.559,0.578
16048740,0.719,0.529,0.567,0.492,0.536
35163936,0.535,0.630,0.628,0.656,0.166
35164139,0.616,0.525,0.572,0.612,0.346
35164190,0.502,0.544,0.569,0.579,0.682
35175280,0.580,0.430,0.400,0.563,0.506
310030172,0.497,0.508,0.442,0.507,0.571
35179560,0.578,0.642,0.603,0.608,0.781
35281724,0.459,0.264,0.557,0.523,0.478
35283926,0.425,0.533,0.601,0.644,0.577
35284388,0.645,0.539,0.535,0.588,0.354
360348218,0.366,0.518,0.412,0.662,0.281
35287196,0.475,0.319,0.488,0.401,0.478
35290759,0.354,0.224,0.385,0.646,0.584
35300944,0.316,0.277,0.248,0.633,0.766
35308562,0.750,0.537,0.662,0.556,0.538
35311775,0.392,0.277,0.292,0.517,0.721
35323981,0.495,0.470,0.388,0.476,0.432
35324363,0.626,0.630,0.437,0.478,0.482
35329753,0.423,0.497,0.434,0.484,0.532
35341340,0.220,0.487,0.481,0.604,0.246
35343104,0.521,0.489,0.385,0.492,0.617
35347747,0.423,0.485,0.442,0.467,0.526
35347977,0.461,0.499,0.427,0.478,0.558
35357461,0.416,0.691,0.669,0.673,0.200
35367952,0.351,0.499,0.456,0.467,0.714
35369214,0.442,0.846,0.665,0.693,0.476
35376813,0.635,0.897,0.623,0.716,0.530
35383950,0.387,0.525,0.483,0.592,0.241
35387680,0.404,0.401,0.327,0.639,0.746
35388404,0.452,0.415,0.361,0.720,0.632
35388869,0.547,0.451,0.581,0.617,0.779
35389442,0.559,0.327,0.300,0.534,0.578
35392823,0.616,0.430,0.292,0.283,0.539
35743142,0.597,0.527,0.682,0.521,0.517
35746423,0.719,0.846,0.633,0.753,0.404
24898887,0.268,0.546,0.496,0.430,0.621
14841581,0.392,0.207,0.532,0.324,0.565
19923638,0.561,0.489,0.559,0.463,0.534
24032692,0.516,0.603,0.540,0.527,0.335
426835962,0.573,0.510,0.501,0.326,0.623
35756647,0.692,0.184,0.444,0.575,0.556
