id,o,c,e,a,n
35072393,0.803,0.642,0.713,0.673,0.462
35075718,0.82,0.611,0.673,0.615,0.502
35081575,0.774,0.609,0.643,0.722,0.39
35082414,0.834,0.644,0.653,0.676,0.433
35082742,0.714,0.664,0.686,0.669,0.288
160252313,0.762,0.65,0.641,0.581,0.371
135756082,0.724,0.79,0.705,0.586,0.494
135761344,0.732,0.719,0.609,0.752,0.359
135789579,0.754,0.806,0.66,0.617,0.387
16097542,0.85,0.576,0.623,0.655,0.392
16420152,0.774,0.793,0.71,0.668,0.241
16420518,0.732,0.705,0.616,0.642,0.218
16427565,0.692,0.652,0.597,0.565,0.423
18324221,0.776,0.792,0.75,0.686,0.144
35094163,0.859,0.741,0.683,0.665,0.48
35094823,0.718,0.696,0.682,0.657,0.247
35099519,0.765,0.665,0.649,0.591,0.383
35102879,0.765,0.604,0.626,0.674,0.501
29291098,0.74,0.596,0.659,0.653,0.359
35108541,0.819,0.599,0.633,0.669,0.41
35114229,0.693,0.667,0.74,0.671,0.339
14829058,0.712,0.642,0.65,0.611,0.381
308598960,0.621,0.641,0.552,0.589,0.417
1922861,0.708,0.672,0.679,0.617,0.398
135818099,0.662,0.658,0.576,0.689,0.329
135822634,0.829,0.769,0.712,0.649,0.269
135836213,0.78,0.623,0.642,0.619,0.338
1967871,0.873,0.642,0.652,0.721,0.33
135860910,0.762,0.698,0.665,0.628,0.371
135879742,0.727,0.717,0.649,0.621,0.367
135895585,0.772,0.743,0.583,0.613,0.314
135901215,0.742,0.66,0.691,0.545,0.334
35143351,0.754,0.537,0.684,0.53,0.425
35148062,0.812,0.641,0.638,0.608,0.423
35151179,0.777,0.706,0.667,0.638,0.25
16045268,0.724,0.739,0.55,0.614,0.336
16048580,0.783,0.589,0.661,0.658,0.333
35157578,0.81,0.61,0.624,0.668,0.451
35162041,0.762,0.664,0.66,0.627,0.402
16048740,0.882,0.683,0.695,0.595,0.379
35163936,0.805,0.731,0.72,0.674,0.18
35164139,0.839,0.681,0.697,0.653,0.277
35164190,0.791,0.69,0.696,0.637,0.458
35175280,0.824,0.636,0.627,0.629,0.363
310030172,0.789,0.673,0.644,0.602,0.398
35179560,0.823,0.737,0.71,0.651,0.511
35281724,0.773,0.557,0.691,0.61,0.348
35283926,0.759,0.685,0.709,0.668,0.401
35284388,0.851,0.688,0.682,0.641,0.281
360348218,0.734,0.678,0.632,0.677,0.242
35287196,0.78,0.583,0.663,0.551,0.348
35290759,0.729,0.538,0.621,0.669,0.405
